Country,Year,RefusalRate
CHINA,2016,12.35%
CHINA,2017,14.57%
CHINA,2018,17%
CHINA,2019,18.22%
CHINA,2020,22.12%
CHINA,2021,79.09%
CHINA,2022,30.39%
CHINA,2023,26.63%
CHINA,2024,25.37%
CHINA,2025,20.21%
INDIA,2016,26.02%
INDIA,2017,23.29%
INDIA,2018,26.07%
INDIA,2019,27.75%
INDIA,2020,27.26%
INDIA,2021,12.25%
INDIA,2022,6.54%
INDIA,2023,10.99%
INDIA,2024,16.32%
INDIA,2025,22.04%
JAPAN,2016,8.12%
JAPAN,2017,8.47%
JAPAN,2018,9.76%
JAPAN,2019,10.48%
JAPAN,2020,10.43%
JAPAN,2021,4.69%
JAPAN,2022,5.79%
JAPAN,2023,6.05%
JAPAN,2024,5.76%
JAPAN,2025,5.68%
"KOREA, SOUTH",2016,8.65%
"KOREA, SOUTH",2017,9.05%
"KOREA, SOUTH",2018,7.96%
"KOREA, SOUTH",2019,7.69%
"KOREA, SOUTH",2020,8.46%
"KOREA, SOUTH",2021,18.03%
"KOREA, SOUTH",2022,17.38%
"KOREA, SOUTH",2023,14.44%
"KOREA, SOUTH",2024,14.97%
"KOREA, SOUTH",2025,24.73%
