Fiscal Year,Country,Number
2019,China,50609
2020,China,51597
2021,China,50328
2022,China,55038
2023,China,45344
2024,China,46680
2019,India,278491
2020,India,319494
2021,India,301616
2022,India,320791
2023,India,279386
2024,India,283397
2019,Korea South,3476
2020,Korea South,3665
2021,Korea South,3481
2022,Korea South,4097
2023,Korea South,3603
2024,Korea South,3983
2019,Pakistan,1766
2020,Pakistan,1929
2021,Pakistan,1880
2022,Pakistan,2505
2023,Pakistan,2591
2024,Pakistan,3052
2019,Philippines,2707
2020,Philippines,2711
2021,Philippines,2786
2022,Philippines,3501
2023,Philippines,4619
2024,Philippines,5248
2019,Taiwan,2637
2020,Taiwan,2595
2021,Taiwan,2604
2022,Taiwan,3016
2023,Taiwan,2554
2024,Taiwan,3099
